product_name,product_description,series,manufacturer,category,tab_category,price,specification,sculptor,cooperation,image1,image2,image3,image4
Nendoroid Nino Nakano: Wedding Dress Ver.,"From the anime special ""The Quintessential Quintuplets ∽"" comes a Nendoroid of Nino Nakano in her wedding dress outfit!",The Quintessential Quintuplets ∽,Good Smile Company,Nendoroid,Nendroid,"¥6,500",Painted plastic non-scale articulated figure with stand included. Approximately 100mm in height.,Design COCO,Nendoron,//images.goodsmile.info/cgm/images/product/20231212/15354/124841/large/f5c34d3e09a5cda3dc08248b4e6a0f0d.jpg,//images.goodsmile.info/cgm/images/product/20231212/15354/124842/large/33c64cc5d2ee9b613dfeddaf47f32eae.jpg,//images.goodsmile.info/cgm/images/product/20231212/15354/124843/large/b9418b49e21316474e8cb544bdd4167c.jpg,//images.goodsmile.info/cgm/images/product/20231212/15354/124844/large/77f00d4a803c6dc034bbca746276ea26.jpg
Nendoroid Phantom Thief Jeanne,"From the anime ""Phantom Thief Jeanne"" comes a Nendoroid of Phantom Thief Jeanne!",Phantom Thief Jeanne,Good Smile Company,Nendoroid,Nendroid,"¥7,500",Painted plastic non-scale articulated figure with stand included. Approximately 100mm in height.,TuZi (GSAS),Nendoron,//images.goodsmile.info/cgm/images/product/20231221/15361/124833/large/3e460951c89e0d09c754aea124eb6008.jpg,//images.goodsmile.info/cgm/images/product/20231221/15361/124834/large/429d220a6e22644014e052e88f0226d7.jpg,//images.goodsmile.info/cgm/images/product/20231221/15361/124835/large/1e7f19a7ffde12dca76314a26f872fb9.jpg,//images.goodsmile.info/cgm/images/product/20231221/15361/124836/large/108bd34b7e2168f8ebefda94af1daafd.jpg
Nendoroid Doctor,"From the popular smartphone game ""Arknights"" comes a rerelease of the Nendoroid of the commander of Rhodes Island, the Doctor! Optional parts include a bag used during recruitment, bag effect parts, an electric kettle, effect stickers for conveying the Doctor's emotions, LMD, an Originite Prime and an Originium Slug. Be sure to add Nendoroid Doctor to your collection, and display them with your Operator Nendoroids!",Arknights,Good Smile Arts Shanghai,Nendoroid,Nendroid,"¥6,500",Painted ABS&PVC non-scale articulated figure with stand included. Approximately 100mm in height.,Mo Buran,Nendoron,//images.goodsmile.info/cgm/images/product/20210916/11793/89989/large/e02fad67d9771be3f7273eccd19edfb2.jpg,//images.goodsmile.info/cgm/images/product/20210916/11793/89990/large/557559b9da34de978c2cfdf0c507b6a0.jpg,//images.goodsmile.info/cgm/images/product/20210916/11793/89991/large/22f0a6f2891b082e648819160c721c0d.jpg,//images.goodsmile.info/cgm/images/product/20210916/11793/89992/large/239dad077f7e1df6fc744e1d68f8e335.jpg
Nendoroid Frieren,"From the anime ""Frieren: Beyond Journey's End"" comes a Nendoroid of Frieren!",Frieren: Beyond Journey's End,Good Smile Company,Nendoroid,Nendroid,"¥6,500",Painted plastic non-scale articulated figure with stand included. Approximately 100mm in height.,Pumpkin,Nendoron,//images.goodsmile.info/cgm/images/product/20231225/15397/125171/large/86e3d293107d41fe92692045d34fd1e8.jpg,//images.goodsmile.info/cgm/images/product/20231225/15397/125172/large/6fc0288cc1f93f16f2a95960a8f4bc0d.jpg,//images.goodsmile.info/cgm/images/product/20231225/15397/125173/large/1dfeee39cdee0ef955a8be5d3df8ece7.jpg,//images.goodsmile.info/cgm/images/product/20231225/15397/125174/large/fd72503fbc3c5c83e899391c3fc9dcf7.jpg
Nendoroid Fern,"From the anime ""Frieren: Beyond Journey's End"" comes a Nendoroid of Fern!",Frieren: Beyond Journey's End,Good Smile Company,Nendoroid,Nendroid,"¥5,900",Painted plastic non-scale articulated figure with stand included. Approximately 100mm in height.,Semi,Nendoron,//images.goodsmile.info/cgm/images/product/20231225/15398/125181/large/cc5b5ec27d4618b7c9f5704779e6d9ef.jpg,//images.goodsmile.info/cgm/images/product/20231225/15398/125182/large/66af48f4d8990c5c4f812b6535333ba5.jpg,//images.goodsmile.info/cgm/images/product/20231225/15398/125183/large/c81d39de44e82dfb081f6ab98a95616e.jpg,//images.goodsmile.info/cgm/images/product/20231225/15398/125184/large/9d48e75e788ec89f083989b1ffde48a4.jpg
Nendoroid Jinshi,"From the popular mystery series set in the middle ages of the East, ""The Apothecary Diaries"", comes a Nendoroid of the beautiful Jinshi!",The Apothecary Diaries,Good Smile Company,Nendoroid,Nendroid,"¥6,200",Painted plastic non-scale articulated figure with stand included. Approximately 100mm in height.,Dogu,Nendoron,//images.goodsmile.info/cgm/images/product/20231222/15384/125054/large/bf9af6cef5c42b29a47e247f1767c417.jpg,//images.goodsmile.info/cgm/images/product/20231222/15384/125055/large/fb69aed8c73d192d20f0f5afd9dd7bd6.jpg,//images.goodsmile.info/cgm/images/product/20231222/15384/125056/large/277c7f570ad1e164d843f6173d93af3d.jpg,//images.goodsmile.info/cgm/images/product/20231222/15384/125057/large/2fa139ca8eae076bebc003017dadd7db.jpg
Nendoroid Doll Rikka Takarada,"From the anime ""SSSS.GRIDMAN"" comes a Nendoroid Doll of the heroine Rikka Takarada in her usual outfit! The Nendoroid Doll series of palm-sized action figures feature the same heads as standard Nendoroids, but alternate doll-like bodies that are highly articulated and can easily be dressed-up into different outfits! Be sure to add her to your collection!",SSSS.GRIDMAN,Good Smile Company,Nendoroid Doll,Nendroid,"¥9,000","Painted non-scale articulated doll made with cloth, magnets and plastic with stand included. Approximately 140mm in height.",Shichibee (Matsuda Model),"Sawada Koubou, Nendoron",//images.goodsmile.info/cgm/images/product/20231225/15401/125207/large/060d1213adc455ca47722c072be2a5c2.jpg,//images.goodsmile.info/cgm/images/product/20231225/15401/125208/large/bf9b22100ddcc17f50a1ef5dc39daed0.jpg,//images.goodsmile.info/cgm/images/product/20231225/15401/125209/large/508dd00f571f8a3f0f92e7c86cc992a5.jpg,//images.goodsmile.info/cgm/images/product/20231225/15401/125210/large/1d85a4d96499c56a0b62bd24c58a6207.jpg
Nendoroid Doll Outfit Set: Rikka Takarada,An outfit set of Rikka Takarada's outfit.,SSSS.GRIDMAN,Good Smile Company,Nendoroid Doll,Nendroid,"¥4,800","Cloth, magnets and plastic complete painted product.",Shichibee (Matsuda Model),"Sawada Koubou, Nendoron",//images.goodsmile.info/cgm/images/product/20231226/15403/125239/large/f45bb709a0244194ff921bdb4840587f.jpg,//images.goodsmile.info/cgm/images/product/20231226/15403/125240/large/acbf5a4b3b0d64b27cf193b606e5ecb5.jpg,//images.goodsmile.info/cgm/images/product/20231226/15403/125241/large/060d1213adc455ca47722c072be2a5c2.jpg,//images.goodsmile.info/cgm/images/product/20231226/15403/125242/large/bf9b22100ddcc17f50a1ef5dc39daed0.jpg
Nendoroid Bond Forger,"From the anime ""SPY x FAMILY"" comes a Nendoroid of the Forger family's beloved pet dog, Bond!",SPY x FAMILY,Good Smile Company,Nendoroid,Nendroid,"¥6,500",Painted plastic non-scale articulated figure with stand included. Approximately 60mm in height.,Shichibee (Matsuda Model),Nendoron,//images.goodsmile.info/cgm/images/product/20231127/15286/124003/large/d8ee97e001b28584c5f0ae85946cfbd4.jpg,//images.goodsmile.info/cgm/images/product/20231127/15286/124004/large/953858fa35dbd3fa88d1fa4582933f4a.jpg,//images.goodsmile.info/cgm/images/product/20231127/15286/124005/large/587925df4591eb7c5bde6f9df42b932a.jpg,//images.goodsmile.info/cgm/images/product/20231127/15286/124006/large/952b13a9fe9e1120dd6adac9bf2db8e6.jpg
Nendoroid Mia Luna Tearmoon,"From the anime ""Tearmoon Empire"" comes a Nendoroid of the main character Princess Mia!",Tearmoon Empire,Good Smile Company,Nendoroid,Nendroid,"¥6,600",Painted plastic non-scale articulated figure with stand included. Approximately 100mm in height.,toytec D.T.C,Nendoron,//images.goodsmile.info/cgm/images/product/20231225/15400/125199/large/07523ea2440c434a9fc009b881eacd8c.jpg,//images.goodsmile.info/cgm/images/product/20231225/15400/125200/large/c1809c5bdb584f1454f90c33489f6a9d.jpg,//images.goodsmile.info/cgm/images/product/20231225/15400/125201/large/d53085a08b0408bdc930c357d6b7b5eb.jpg,//images.goodsmile.info/cgm/images/product/20231225/15400/125202/large/c0c8b84bb515ce8be8c7a63a34b68214.jpg
